Pincode,StateName,stateCode
515004,Andhra Pradesh,AD
515822,Andhra Pradesh,AD
515001,Andhra Pradesh,AD
515787,Andhra Pradesh,AD
515405,Andhra Pradesh,AD
515741,Andhra Pradesh,AD
515004,Andhra Pradesh,AD
515867,Andhra Pradesh,AD
515722,Andhra Pradesh,AD
515455,Andhra Pradesh,AD
515865,Andhra Pradesh,AD
515865,Andhra Pradesh,AD
515865,Andhra Pradesh,AD
515455,Andhra Pradesh,AD
515763,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515701,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515701,Andhra Pradesh,AD
515004,Andhra Pradesh,AD
515001,Andhra Pradesh,AD
515415,Andhra Pradesh,AD
515435,Andhra Pradesh,AD
515751,Andhra Pradesh,AD
515001,Andhra Pradesh,AD
515741,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515767,Andhra Pradesh,AD
515701,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515435,Andhra Pradesh,AD
515465,Andhra Pradesh,AD
515822,Andhra Pradesh,AD
515004,Andhra Pradesh,AD
515865,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515003,Andhra Pradesh,AD
515741,Andhra Pradesh,AD
515865,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515414,Andhra Pradesh,AD
515863,Andhra Pradesh,AD
515751,Andhra Pradesh,AD
515004,Andhra Pradesh,AD
515611,Andhra Pradesh,AD
515731,Andhra Pradesh,AD
515832,Andhra Pradesh,AD
515405,Andhra Pradesh,AD
515765,Andhra Pradesh,AD
515445,Andhra Pradesh,AD
515741,Andhra Pradesh,AD
515763,Andhra Pradesh,AD
515414,Andhra Pradesh,AD
515465,Andhra Pradesh,AD
515731,Andhra Pradesh,AD
515803,Andhra Pradesh,AD
515765,Andhra Pradesh,AD
515787,Andhra Pradesh,AD
515767,Andhra Pradesh,AD
515401,Andhra Pradesh,AD
515722,Andhra Pradesh,AD
515766,Andhra Pradesh,AD
515455,Andhra Pradesh,AD
515801,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515867,Andhra Pradesh,AD
515711,Andhra Pradesh,AD
515611,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515002,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515415,Andhra Pradesh,AD
515766,Andhra Pradesh,AD
515731,Andhra Pradesh,AD
515832,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515775,Andhra Pradesh,AD
515865,Andhra Pradesh,AD
515812,Andhra Pradesh,AD
515415,Andhra Pradesh,AD
515870,Andhra Pradesh,AD
515408,Andhra Pradesh,AD
515425,Andhra Pradesh,AD
515832,Andhra Pradesh,AD
515701,Andhra Pradesh,AD
515415,Andhra Pradesh,AD
515465,Andhra Pradesh,AD
515465,Andhra Pradesh,AD
515863,Andhra Pradesh,AD
515867,Andhra Pradesh,AD
515870,Andhra Pradesh,AD
515761,Andhra Pradesh,AD
515763,Andhra Pradesh,AD
515765,Andhra Pradesh,AD
515741,Andhra Pradesh,AD
515401,Andhra Pradesh,AD
515408,Andhra Pradesh,AD
515761,Andhra Pradesh,AD
515763,Andhra Pradesh,AD
515465,Andhra Pradesh,AD
515425,Andhra Pradesh,AD
515787,Andhra Pradesh,AD
515765,Andhra Pradesh,AD
515741,Andhra Pradesh,AD
515722,Andhra Pradesh,AD
515871,Andhra Pradesh,AD
515411,Andhra Pradesh,AD
515731,Andhra Pradesh,AD
515761,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517403,Andhra Pradesh,AD
517280,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517415,Andhra Pradesh,AD
517421,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517390,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517401,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517421,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517415,Andhra Pradesh,AD
517424,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517421,Andhra Pradesh,AD
517351,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517401,Andhra Pradesh,AD
517418,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517426,Andhra Pradesh,AD
517422,Andhra Pradesh,AD
517132,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517123,Andhra Pradesh,AD
517370,Andhra Pradesh,AD
517423,Andhra Pradesh,AD
517422,Andhra Pradesh,AD
517351,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517419,Andhra Pradesh,AD
517424,Andhra Pradesh,AD
517417,Andhra Pradesh,AD
517002,Andhra Pradesh,AD
517004,Andhra Pradesh,AD
517123,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517126,Andhra Pradesh,AD
517319,Andhra Pradesh,AD
517424,Andhra Pradesh,AD
517132,Andhra Pradesh,AD
517001,Andhra Pradesh,AD
517001,Andhra Pradesh,AD
517004,Andhra Pradesh,AD
517001,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517417,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517002,Andhra Pradesh,AD
517001,Andhra Pradesh,AD
517001,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517424,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517415,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517599,Andhra Pradesh,AD
517351,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517167,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517419,Andhra Pradesh,AD
517131,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517426,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517130,Andhra Pradesh,AD
517125,Andhra Pradesh,AD
517130,Andhra Pradesh,AD
517352,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517319,Andhra Pradesh,AD
517123,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517125,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517351,Andhra Pradesh,AD
517422,Andhra Pradesh,AD
517424,Andhra Pradesh,AD
517123,Andhra Pradesh,AD
517418,Andhra Pradesh,AD
517130,Andhra Pradesh,AD
517132,Andhra Pradesh,AD
517426,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517390,Andhra Pradesh,AD
517126,Andhra Pradesh,AD
517432,Andhra Pradesh,AD
517429,Andhra Pradesh,AD
517326,Andhra Pradesh,AD
517130,Andhra Pradesh,AD
517130,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517128,Andhra Pradesh,AD
517414,Andhra Pradesh,AD
517126,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517424,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517415,Andhra Pradesh,AD
517390,Andhra Pradesh,AD
517257,Andhra Pradesh,AD
517002,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517390,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
517126,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517422,Andhra Pradesh,AD
517124,Andhra Pradesh,AD
517426,Andhra Pradesh,AD
517422,Andhra Pradesh,AD
517391,Andhra Pradesh,AD
517425,Andhra Pradesh,AD
517131,Andhra Pradesh,AD
517418,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517423,Andhra Pradesh,AD
517422,Andhra Pradesh,AD
517416,Andhra Pradesh,AD
517247,Andhra Pradesh,AD
517391,Andhra Pradesh,AD
517129,Andhra Pradesh,AD
517127,Andhra Pradesh,AD
517408,Andhra Pradesh,AD
